"Pokémon","Objeto","Habilidad","Teratipo","Mov1","Mov2","Mov3","Mov4","Torneo","Nombre","cluster"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Pokemon day week x VGC trainer school tour!","prespres","SemiTR"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Protect","Pokemon day week x VGC trainer school tour!","prespres","SemiTR"
"Ursaluna-Bloodmoon","Life Orb","Mind's Eye","Normal","Hyper Voice","Blood Moon","Earth Power","Protect","Pokemon day week x VGC trainer school tour!","prespres","SemiTR"
"Farigiraf","Sitrus Berry","Armor Tail","Fairy","Psychic","Dazzling Gleam","Trick Room","Helping Hand","Pokemon day week x VGC trainer school tour!","prespres","SemiTR"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Earth Power","Sludge Bomb","Substitute","regional-knoxville","Drew Brown","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Protect","regional-knoxville","Drew Brown","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Rock Slide","Flare Blitz","Head Smash","Extreme Speed","regional-knoxville","Drew Brown","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Snarl","Dragon Pulse","Electroweb","regional-knoxville","Drew Brown","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-knoxville","Drew Brown","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Protect","Icy Wind","Taunt","regional-knoxville","Drew Brown","Spanish Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Fake Out","Flare Blitz","Parting Shot","Will-O-Wisp","regional-dortmund","Guillermo Castilla","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Electroweb","Dragon Pulse","Snarl","regional-liverpool","Guillermo Castilla","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Electroweb","Dragon Pulse","Snarl","regional-dortmund","Guillermo Castilla","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Ivy Cudgel","Horn Leech","Follow Me","regional-liverpool","Guillermo Castilla","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Ivy Cudgel","Horn Leech","Follow Me","regional-dortmund","Guillermo Castilla","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Rock Slide","Flare Blitz","Extreme Speed","Head Smash","regional-liverpool","Guillermo Castilla","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Protect","Moonblast","Icy Wind","Taunt","regional-dortmund","Guillermo Castilla","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Protect","Moonblast","Icy Wind","Taunt","regional-liverpool","Guillermo Castilla","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Earth Power","Sludge Bomb","Substitute","regional-dortmund","Guillermo Castilla","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Earth Power","Sludge Bomb","Substitute","regional-liverpool","Guillermo Castilla","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Detect","Close Combat","Wicked Blow","Sucker Punch","regional-dortmund","Guillermo Castilla","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Detect","Close Combat","Wicked Blow","Sucker Punch","regional-liverpool","Guillermo Castilla","Spanish Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Flare Blitz","Will-O-Wisp","Parting Shot","Fake Out","special-utrecht","Iker Rodrigo","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Snarl","Electroweb","Dragon Pulse","special-utrecht","Iker Rodrigo","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Icy Wind","Taunt","Protect","special-utrecht","Iker Rodrigo","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","special-utrecht","Iker Rodrigo","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Iker Rodrigo","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","special-utrecht","Iker Rodrigo","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Substitute","Protect","Sludge Bomb","special-utrecht","Jan Altisent Brescó","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Snarl","Electroweb","Dragon Pulse","special-utrecht","Jan Altisent Brescó","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","special-utrecht","Jan Altisent Brescó","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","special-utrecht","Jan Altisent Brescó","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Icy Wind","Taunt","Protect","special-utrecht","Jan Altisent Brescó","Spanish Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Flare Blitz","Parting Shot","Fake Out","Will-O-Wisp","special-utrecht","Jan Altisent Brescó","Spanish Balance"
"Incineroar","Figy Berry","Intimidate","Grass","Fake Out","Flare Blitz","Knock Off","Parting Shot","regional-portland","Jose Vazquez","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Icy Wind","Protect","regional-portland","Jose Vazquez","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-portland","Jose Vazquez","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","regional-portland","Jose Vazquez","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","regional-portland","Jose Vazquez","Spanish Balance"
"Raging Bolt","Safety Goggles","Protosynthesis","Electric","Thunderclap","Draco Meteor","Thunderbolt","Protect","regional-portland","Jose Vazquez","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Rock Slide","Flare Blitz","Head Smash","Extreme Speed","regional-knoxville","Justin Tang","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Snarl","Electroweb","regional-knoxville","Justin Tang","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","regional-knoxville","Justin Tang","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Taunt","Icy Wind","Protect","regional-knoxville","Justin Tang","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","regional-knoxville","Justin Tang","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-knoxville","Justin Tang","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Icy Wind","Taunt","Protect","special-utrecht","Michael Kelsch","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Protect","special-utrecht","Michael Kelsch","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Dragon Pulse","Thunderclap","Snarl","Electroweb","special-utrecht","Michael Kelsch","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Michael Kelsch","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","special-utrecht","Michael Kelsch","Spanish Balance"
"Entei","Choice Band","Inner Focus","Normal","Sacred Fire","Extreme Speed","Stomping Tantrum","Flare Blitz","special-utrecht","Michael Kelsch","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Electroweb","Dragon Pulse","Snarl","Thunderclap","regional-dortmund","Nikola Zirdum","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Taunt","Protect","Moonblast","Icy Wind","regional-dortmund","Nikola Zirdum","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Extreme Speed","Flare Blitz","Head Smash","Rock Slide","regional-dortmund","Nikola Zirdum","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-dortmund","Nikola Zirdum","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","regional-dortmund","Nikola Zirdum","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Sucker Punch","Close Combat","Protect","regional-dortmund","Nikola Zirdum","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Icy Wind","Taunt","Protect","regional-dortmund","Pietro Xella","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Electroweb","Thunderclap","Snarl","Draco Meteor","regional-dortmund","Pietro Xella","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-dortmund","Pietro Xella","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Rock Slide","Head Smash","Flare Blitz","Extreme Speed","regional-dortmund","Pietro Xella","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","regional-dortmund","Pietro Xella","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Sucker Punch","Close Combat","Detect","regional-dortmund","Pietro Xella","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","regional-dortmund","Richard Hodge","Spanish Balance"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Shadow Ball","Dazzling Gleam","Icy Wind","regional-dortmund","Richard Hodge","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderbolt","Thunderclap","Draco Meteor","Snarl","regional-dortmund","Richard Hodge","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","regional-dortmund","Richard Hodge","Spanish Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","regional-dortmund","Richard Hodge","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-dortmund","Richard Hodge","Spanish Balance"
"Raging Bolt","Safety Goggles","Protosynthesis","Water","Thunderclap","Draco Meteor","Thunderbolt","Protect","regional-charlotte","Thomas Cholakov","Spanish Balance"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Knock Off","Parting Shot","Fake Out","regional-charlotte","Thomas Cholakov","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Sucker Punch","Close Combat","Protect","regional-charlotte","Thomas Cholakov","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-charlotte","Thomas Cholakov","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Dazzling Gleam","Shadow Ball","Icy Wind","Protect","regional-charlotte","Thomas Cholakov","Spanish Balance"
"Metagross","Assault Vest","Clear Body","Flying","Heavy Slam","Bullet Punch","Psychic Fangs","Stomping Tantrum","regional-charlotte","Thomas Cholakov","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Taunt","Icy Wind","Protect","special-utrecht","Víctor Medina","Spanish Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Fake Out","Flare Blitz","Parting Shot","Will-O-Wisp","special-utrecht","Víctor Medina","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Electroweb","Snarl","special-utrecht","Víctor Medina","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Víctor Medina","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Close Combat","Wicked Blow","Sucker Punch","Detect","special-utrecht","Víctor Medina","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","special-utrecht","Víctor Medina","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Dragon Pulse","Electroweb","Snarl","Thunderclap","regional-knoxville","Yichun Wu","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Detect","Wicked Blow","Close Combat","Sucker Punch","regional-knoxville","Yichun Wu","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Protect","Moonblast","Icy Wind","Taunt","regional-knoxville","Yichun Wu","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Ivy Cudgel","Horn Leech","Follow Me","regional-knoxville","Yichun Wu","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Substitute","Sludge Bomb","Earth Power","regional-knoxville","Yichun Wu","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Rock Slide","Flare Blitz","Extreme Speed","Head Smash","regional-knoxville","Yichun Wu","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Electroweb","Thunderclap","Snarl","Draco Meteor","Pokemon Day Week x Nino FF #84","johngrace","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Detect","Sucker Punch","Close Combat","Wicked Blow","Pokemon Day Week x Nino FF #84","johngrace","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Protect","Moonblast","Icy Wind","Taunt","Pokemon Day Week x Nino FF #84","johngrace","Spanish Balance"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Flare Blitz","Extreme Speed","Head Smash","Rock Slide","Pokemon Day Week x Nino FF #84","johngrace","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Earth Power","Sludge Bomb","Substitute","Pokemon Day Week x Nino FF #84","johngrace","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Horn Leech","Ivy Cudgel","Follow Me","Pokemon Day Week x Nino FF #84","johngrace","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Electroweb","Snarl","SpearPillar S/V Cart Tour #18","migglevgc","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","SpearPillar S/V Cart Tour #18","migglevgc","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","SpearPillar S/V Cart Tour #18","migglevgc","Spanish Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Fake Out","Parting Shot","Knock Off","SpearPillar S/V Cart Tour #18","migglevgc","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Sucker Punch","Close Combat","Detect","SpearPillar S/V Cart Tour #18","migglevgc","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Icy Wind","Protect","SpearPillar S/V Cart Tour #18","migglevgc","Spanish Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Draco Meteor","Electroweb","Snarl","Pokémon Day Week x SpearPillar Saturday Showdown","seanyboy335","Spanish Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Taunt","Icy Wind","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","seanyboy335","Spanish Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","seanyboy335","Spanish Balance"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","seanyboy335","Spanish Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Pokémon Day Week x SpearPillar Saturday Showdown","seanyboy335","Spanish Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Fake Out","Parting Shot","Knock Off","Flare Blitz","Pokémon Day Week x SpearPillar Saturday Showdown","seanyboy335","Spanish Balance"
"Armarouge","Life Orb","Flash Fire","Psychic","Expanding Force","Heat Wave","Trick Room","Protect","regional-dortmund","Alex Soto","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Psychic","Helping Hand","Follow Me","Trick Room","regional-liverpool","Alex Soto","Sun HardTR"
"Ogerpon-Cornerstone","Cornerstone Mask","Sturdy","Rock","Wood Hammer","Ivy Cudgel","Follow Me","Spiky Shield","regional-dortmund","Alex Soto","Sun HardTR"
"Kingambit","Dread Plate","Defiant","Dark","Kowtow Cleave","Sucker Punch","Swords Dance","Protect","regional-liverpool","Alex Soto","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Dazzling Gleam","Helping Hand","Follow Me","Trick Room","regional-dortmund","Alex Soto","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Grass","Sacred Sword","Psycho Cut","Trick Room","Wide Guard","regional-liverpool","Alex Soto","Sun HardTR"
"Kingambit","Dread Plate","Defiant","Dragon","Kowtow Cleave","Sucker Punch","Low Kick","Swords Dance","regional-dortmund","Alex Soto","Sun HardTR"
"Torkoal","Choice Specs","Drought","Fire","Eruption","Flamethrower","Solar Beam","Earth Power","regional-liverpool","Alex Soto","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Grass","Sacred Sword","Psycho Cut","Trick Room","Wide Guard","regional-dortmund","Alex Soto","Sun HardTR"
"Iron Crown","Booster Energy","Quark Drive","Water","Expanding Force","Tachyon Cutter","Tera Blast","Protect","regional-liverpool","Alex Soto","Sun HardTR"
"Torkoal","Choice Specs","Drought","Fire","Eruption","Weather Ball","Heat Wave","Earth Power","regional-dortmund","Alex Soto","Sun HardTR"
"Hatterene","Life Orb","Magic Bounce","Psychic","Expanding Force","Dazzling Gleam","Trick Room","Protect","regional-liverpool","Alex Soto","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Normal","Facade","Headlong Rush","Earthquake","Protect","regional-dortmund","Antonio Marco Rodrigo Jiménez","Sun HardTR"
"Regidrago","Dragon Fang","Dragon's Maw","Dragon","Dragon Energy","Draco Meteor","Earth Power","Protect","regional-dortmund","Antonio Marco Rodrigo Jiménez","Sun HardTR"
"Armarouge","Life Orb","Flash Fire","Grass","Expanding Force","Armor Cannon","Wide Guard","Trick Room","regional-dortmund","Antonio Marco Rodrigo Jiménez","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Follow Me","Helping Hand","Dazzling Gleam","Trick Room","regional-dortmund","Antonio Marco Rodrigo Jiménez","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Eruption","Flamethrower","Clear Smog","Protect","regional-dortmund","Antonio Marco Rodrigo Jiménez","Sun HardTR"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Shadow Ball","Dazzling Gleam","Trick Room","regional-dortmund","Antonio Marco Rodrigo Jiménez","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Follow Me","Dazzling Gleam","Trick Room","Helping Hand","regional-melbourne","Aristo Wibowanto","Sun HardTR"
"Kingambit","Assault Vest","Defiant","Water","Kowtow Cleave","Iron Head","Tera Blast","Sucker Punch","regional-melbourne","Aristo Wibowanto","Sun HardTR"
"Hatterene","Life Orb","Magic Bounce","Fire","Expanding Force","Dazzling Gleam","Trick Room","Protect","regional-melbourne","Aristo Wibowanto","Sun HardTR"
"Torkoal","Choice Specs","Drought","Fire","Eruption","Overheat","Heat Wave","Earth Power","regional-melbourne","Aristo Wibowanto","Sun HardTR"
"Lilligant-Hisui","Focus Sash","Chlorophyll","Ghost","After You","Sleep Powder","Solar Blade","Close Combat","regional-melbourne","Aristo Wibowanto","Sun HardTR"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Follow Me","Ivy Cudgel","Horn Leech","Spiky Shield","regional-melbourne","Aristo Wibowanto","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Grass","Wide Guard","Trick Room","Sacred Sword","Psycho Cut","regional-charlotte","Blake Silver","Sun HardTR"
"Hatterene","Life Orb","Magic Bounce","Fire","Expanding Force","Dazzling Gleam","Protect","Trick Room","regional-charlotte","Blake Silver","Sun HardTR"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Stellar","Surging Strikes","Ice Spinner","Close Combat","U-turn","regional-charlotte","Blake Silver","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Water","Follow Me","Dazzling Gleam","Helping Hand","Trick Room","regional-charlotte","Blake Silver","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Protect","Weather Ball","Earth Power","Eruption","regional-charlotte","Blake Silver","Sun HardTR"
"Kingambit","Black Glasses","Defiant","Dragon","Kowtow Cleave","Protect","Swords Dance","Sucker Punch","regional-charlotte","Blake Silver","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Trick Room","Helping Hand","Follow Me","Dazzling Gleam","regional-portland","Brandon Davis","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Ghost","Protect","Earthquake","Facade","Headlong Rush","regional-portland","Brandon Davis","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Protect","Eruption","Heat Wave","Earth Power","regional-portland","Brandon Davis","Sun HardTR"
"Hatterene","Life Orb","Magic Bounce","Fire","Trick Room","Protect","Expanding Force","Dazzling Gleam","regional-portland","Brandon Davis","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Grass","Trick Room","Wide Guard","Psycho Cut","Sacred Sword","regional-portland","Brandon Davis","Sun HardTR"
"Urshifu","Choice Scarf","Unseen Fist","Stellar","Close Combat","Wicked Blow","Tera Blast","U-turn","regional-portland","Brandon Davis","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Follow Me","Helping Hand","Dazzling Gleam","Trick Room","regional-liverpool","Conor McCormack","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Eruption","Weather Ball","Earth Power","Clear Smog","regional-liverpool","Conor McCormack","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Ghost","Headlong Rush","Protect","Facade","Earthquake","regional-liverpool","Conor McCormack","Sun HardTR"
"Hatterene","Life Orb","Magic Bounce","Fire","Dazzling Gleam","Expanding Force","Trick Room","Protect","regional-liverpool","Conor McCormack","Sun HardTR"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Wood Hammer","Taunt","Follow Me","regional-liverpool","Conor McCormack","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Grass","Sacred Sword","Psycho Cut","Upper Hand","Trick Room","regional-liverpool","Conor McCormack","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Fairy","Facade","Headlong Rush","Earthquake","Yawn","regional-melbourne","Diego Ferreira","Sun HardTR"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Taunt","Tailwind","regional-melbourne","Diego Ferreira","Sun HardTR"
"Armarouge","Psychic Seed","Flash Fire","Grass","Expanding Force","Flamethrower","Wide Guard","Trick Room","regional-melbourne","Diego Ferreira","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Fire","Sacred Sword","Psycho Cut","Leaf Blade","Trick Room","regional-melbourne","Diego Ferreira","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Water","Helping Hand","Follow Me","Skill Swap","Trick Room","regional-melbourne","Diego Ferreira","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Eruption","Burning Jealousy","Solar Beam","Clear Smog","regional-melbourne","Diego Ferreira","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Fairy","Facade","Headlong Rush","Swords Dance","Protect","regional-goiânia","Dylan Torres","Sun HardTR"
"Hatterene","Life Orb","Magic Bounce","Psychic","Expanding Force","Dazzling Gleam","Trick Room","Protect","regional-goiânia","Dylan Torres","Sun HardTR"
"Flutter Mane","Focus Sash","Protosynthesis","Stellar","Dazzling Gleam","Moonblast","Shadow Ball","Protect","regional-goiânia","Dylan Torres","Sun HardTR"
"Torkoal","Choice Specs","Drought","Fire","Eruption","Weather Ball","Solar Beam","Earth Power","regional-goiânia","Dylan Torres","Sun HardTR"
"Indeedee-F","Rocky Helmet","Psychic Surge","Fairy","Dazzling Gleam","Follow Me","Helping Hand","Trick Room","regional-goiânia","Dylan Torres","Sun HardTR"
"Gallade","Clear Amulet","Sharpness","Grass","Psycho Cut","Sacred Sword","Wide Guard","Trick Room","regional-goiânia","Dylan Torres","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Dragon","Earthquake","Facade","Protect","Swords Dance","special-utrecht","Emilio Dominguez","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Eruption","Flamethrower","Protect","Helping Hand","special-utrecht","Emilio Dominguez","Sun HardTR"
"Urshifu","Life Orb","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Protect","special-utrecht","Emilio Dominguez","Sun HardTR"
"Cresselia","Mental Herb","Levitate","Fairy","Trick Room","Lunar Blessing","Moonblast","Helping Hand","special-utrecht","Emilio Dominguez","Sun HardTR"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Dazzling Gleam","Shadow Ball","Perish Song","Moonblast","special-utrecht","Emilio Dominguez","Sun HardTR"
"Lilligant-Hisui","Focus Sash","Chlorophyll","Ghost","Solar Blade","Sleep Powder","After You","Close Combat","special-utrecht","Emilio Dominguez","Sun HardTR"
"Iron Crown","Booster Energy","Quark Drive","Psychic","Protect","Expanding Force","Tachyon Cutter","Focus Blast","regional-portland","Everett Filloon","Sun HardTR"
"Indeedee-F","Psychic Seed","Psychic Surge","Grass","Trick Room","Follow Me","Helping Hand","Dazzling Gleam","regional-portland","Everett Filloon","Sun HardTR"
"Ursaluna","Flame Orb","Guts","Ghost","Protect","Facade","Headlong Rush","Earthquake","regional-portland","Everett Filloon","Sun HardTR"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","U-turn","Ice Spinner","Surging Strikes","Close Combat","regional-portland","Everett Filloon","Sun HardTR"
"Chi-Yu","Choice Specs","Beads of Ruin","Ghost","Heat Wave","Dark Pulse","Overheat","Snarl","regional-portland","Everett Filloon","Sun HardTR"
"Torkoal","Charcoal","Drought","Fire","Protect","Eruption","Heat Wave","Earth Power","regional-portland","Everett Filloon","Sun HardTR"
