Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6
Ogerpon-Cornerstone,Cornerstone Mask,Sturdy,Rock,Ivy Cudgel,Power Whip,Follow Me,U-turn,Indeedee-F,Psychic Seed,Psychic Surge,Fairy,Follow Me,Dazzling Gleam,Helping Hand,Trick Room,Torkoal,Charcoal,Drought,Fire,Protect,Earth Power,Heat Wave,Eruption,Kingambit,Black Glasses,Defiant,Fairy,Swords Dance,Kowtow Cleave,Protect,Sucker Punch,Armarouge,Power Herb,Flash Fire,Grass,Armor Cannon,Meteor Beam,Expanding Force,Trick Room,Gallade,Clear Amulet,Sharpness,Fire,Psycho Cut,Sacred Sword,Wide Guard,Trick Room
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Icy Wind,Talonflame,Safety Goggles,Gale Wings,Dragon,Brave Bird,Tailwind,Taunt,Sunny Day,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Protect,Dark Pulse,Heat Wave,Nasty Plot,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Meteor Beam,Earth Power,Sludge Bomb,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,U-turn
Dondozo,Leftovers,Oblivious,Steel,Wave Crash,Heavy Slam,Yawn,Protect,Okidogi,Assault Vest,Guard Dog,Grass,Poison Jab,Drain Punch,Upper Hand,Knock Off,Ting-Lu,Rocky Helmet,Vessel of Ruin,Grass,Sand Tomb,Ruination,Snarl,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Heat Crash,Howl,Burning Bulwark,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Spiky Shield,Swords Dance,Rillaboom,Meadow Plate,Grassy Surge,Fire,U-turn,Wood Hammer,Grassy Glide,Fake Out
Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Will-O-Wisp,Parting Shot,Iron Hands,Assault Vest,Quark Drive,Water,Wild Charge,Drain Punch,Heavy Slam,Fake Out,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Dragon Dance,Protect,Amoonguss,Sitrus Berry,Regenerator,Fairy,Sludge Bomb,Pollen Puff,Spore,Rage Powder,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Spiky Shield,Follow Me,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song
Metagross,Assault Vest,Clear Body,Ground,Heavy Slam,Psychic Fangs,Stomping Tantrum,Expanding Force,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Trick Room,Helping Hand,Blaziken,Life Orb,Speed Boost,Grass,Close Combat,Flare Blitz,Protect,Flamethrower,Staraptor,Choice Scarf,Intimidate,Ghost,Brave Bird,Close Combat,Tailwind,U-turn,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Spiky Shield,Focus Energy,Raging Bolt,Booster Energy,Protosynthesis,Electric,Dragon Pulse,Thunderbolt,Protect,Thunderclap
Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Protect,Sandsear Storm,Arcanine-Hisui,Choice Band,Intimidate,Ghost,Flare Blitz,Rock Slide,Extreme Speed,Head Smash,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Dragon Pulse,Electroweb,Snarl,Articuno,Choice Specs,Snow Cloak,Ice,Blizzard,Ice Beam,Freeze-Dry,Sheer Cold,Ninetales-Alola,Light Clay,Snow Warning,Fire,Blizzard,Moonblast,Aurora Veil,Helping Hand
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,U-turn,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Will-O-Wisp,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Raging Bolt,Leftovers,Protosynthesis,Fairy,Protect,Dragon Pulse,Thunderclap,Calm Mind,Landorus,Life Orb,Sheer Force,Steel,Substitute,Sludge Bomb,Earth Power,Protect
Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Thundurus,Covert Cloak,Prankster,Dark,Wildbolt Storm,Eerie Impulse,Scary Face,Taunt,Chi-Yu,Choice Specs,Beads of Ruin,Water,Heat Wave,Dark Pulse,Overheat,Tera Blast,Serperior,Wide Lens,Contrary,Water,Leaf Storm,Tera Blast,Glare,Protect,Ogerpon-Cornerstone,Cornerstone Mask,Sturdy,Rock,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Hex,Dazzling Gleam,Icy Wind
Corviknight,Rocky Helmet,Mirror Armor,Fairy,Brave Bird,Iron Head,Tailwind,Roost,Rillaboom,Terrain Extender,Grassy Surge,Fire,Fake Out,Wood Hammer,Grassy Glide,U-turn,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Kingambit,Assault Vest,Defiant,Fairy,Kowtow Cleave,Iron Head,Sucker Punch,Low Kick,Maushold-Four,Wide Lens,Technician,Normal,Population Bomb,Encore,Protect,Substitute,Gastrodon,Covert Cloak,Storm Drain,Fire,Earth Power,Ice Beam,Protect,Sludge Bomb
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Protect,Hyper Voice,Farigiraf,Mental Herb,Armor Tail,Grass,Protect,Helping Hand,Trick Room,Psychic,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Icy Wind,Tailwind,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,U-turn
Incineroar,Iapapa Berry,Intimidate,Ghost,Knock Off,Flare Blitz,Fake Out,Parting Shot,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Hyper Voice,Trick Room,Dazzling Gleam,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Taunt,Follow Me,Spiky Shield,Volcarona,Leftovers,Flame Body,Fairy,Heat Wave,Quiver Dance,Protect,Tera Blast,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Substitute,Earth Power,Protect,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Rage Powder,Clear Smog,Spore
Garganacl,Sitrus Berry,Purifying Salt,Grass,Protect,Wide Guard,Recover,Salt Cure,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Follow Me,Spiky Shield,Horn Leech,Ivy Cudgel,Latias,Safety Goggles,Levitate,Poison,Protect,Tailwind,Ice Beam,Mist Ball,Ting-Lu,Assault Vest,Vessel of Ruin,Poison,Sand Tomb,Snarl,Heavy Slam,Stomping Tantrum,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Power Gem,Shadow Ball,Dazzling Gleam,Moonblast,Gouging Fire,Booster Energy,Protosynthesis,Grass,Howl,Burning Bulwark,Breaking Swipe,Heat Crash
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Draco Meteor,Snarl,Electroweb,Urshifu,Focus Sash,Unseen Fist,Stellar,Wicked Blow,Sucker Punch,Close Combat,Detect,Registeel,Leftovers,Clear Body,Water,Heavy Slam,Body Press,Iron Defense,Protect,Ursaluna,Flame Orb,Guts,Fairy,Facade,Earthquake,Headlong Rush,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Fake Out,Parting Shot,Knock Off,Cresselia,Safety Goggles,Levitate,Fire,Trick Room,Skill Swap,Lunar Blessing,Ice Beam
Pelipper,Rocky Helmet,Drizzle,Grass,Weather Ball,Hurricane,Wide Guard,Protect,Raging Bolt,Assault Vest,Protosynthesis,Electric,Draco Meteor,Thunderbolt,Thunderclap,Electroweb,Gholdengo,Life Orb,Good as Gold,Steel,Make It Rain,Shadow Ball,Nasty Plot,Protect,Amoonguss,Sitrus Berry,Regenerator,Steel,Sludge Bomb,Spore,Rage Powder,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,U-turn,Close Combat,Aqua Jet,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect
Annihilape,Leftovers,Defiant,Fire,Bulk Up,Drain Punch,Protect,Rage Fist,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Taunt,Close Combat,U-turn,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,U-turn,Fake Out,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Knock Off,Parting Shot,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Dazzling Gleam,Trick Room,Heal Pulse,Iron Crown,Booster Energy,Quark Drive,Fairy,Expanding Force,Tachyon Cutter,Calm Mind,Protect
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,U-turn,Close Combat,Aqua Jet,Surging Strikes,Raging Bolt,Booster Energy,Protosynthesis,Electric,Protect,Draco Meteor,Thunderbolt,Thunderclap,Incineroar,Sitrus Berry,Intimidate,Ghost,Parting Shot,Fake Out,Knock Off,Flare Blitz,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Mystical Fire,Tornadus,Covert Cloak,Prankster,Steel,Rain Dance,Tailwind,Taunt,Bleakwind Storm,Rillaboom,Assault Vest,Grassy Surge,Fire,U-turn,Fake Out,Grassy Glide,High Horsepower
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Dazzling Gleam,Incineroar,Sitrus Berry,Intimidate,Grass,Knock Off,Flare Blitz,Parting Shot,Fake Out,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Earth Power,Sandsear Storm,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Tailwind,Weather Ball,Wide Guard,Archaludon,Assault Vest,Stamina,Bug,Body Press,Electro Shot,Flash Cannon,Draco Meteor
Arcanine-Hisui,Choice Band,Intimidate,Ghost,Flare Blitz,Extreme Speed,Rock Slide,Close Combat,Kingambit,Assault Vest,Defiant,Water,Iron Head,Low Kick,Throat Chop,Sucker Punch,Latias,Rocky Helmet,Levitate,Poison,Thunderbolt,Ice Beam,Recover,Tailwind,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Thunderclap,Snarl,Thunderbolt,Draco Meteor,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Gholdengo,Metal Coat,Good as Gold,Steel,Shadow Ball,Protect,Nasty Plot,Make It Rain
Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,High Horsepower,Fake Out,Primarina,Leftovers,Liquid Voice,Dragon,Hyper Voice,Moonblast,Calm Mind,Protect,Ninetales-Alola,Light Clay,Snow Warning,Water,Blizzard,Moonblast,Aurora Veil,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,Latias,Covert Cloak,Levitate,Steel,Mist Ball,Ice Beam,Tailwind,Recover,Zapdos-Galar,Choice Scarf,Defiant,Ghost,Close Combat,Brave Bird,Knock Off,U-turn
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Farigiraf,Throat Spray,Armor Tail,Fairy,Psychic,Hyper Voice,Trick Room,Protect,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,Detect,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Flare Blitz,Fake Out,Parting Shot,Tornadus,Mental Herb,Prankster,Ghost,Bleakwind Storm,Rain Dance,Tailwind,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect
Rillaboom,Miracle Seed,Grassy Surge,Fire,U-turn,Wood Hammer,Grassy Glide,Fake Out,Comfey,Big Root,Triage,Steel,Draining Kiss,Floral Healing,Calm Mind,Leech Seed,Incineroar,Sitrus Berry,Intimidate,Ghost,Knock Off,Flare Blitz,Fake Out,Parting Shot,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Taunt,Raging Bolt,Assault Vest,Protosynthesis,Water,Thunderclap,Electroweb,Snarl,Dragon Pulse
Indeedee-F,Psychic Seed,Psychic Surge,Fairy,Trick Room,Follow Me,Helping Hand,Dazzling Gleam,Hatterene,Life Orb,Magic Bounce,Psychic,Expanding Force,Dazzling Gleam,Protect,Trick Room,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Howl,Breaking Swipe,Heat Crash,Torkoal,Charcoal,Drought,Fire,Eruption,Protect,Flamethrower,Earth Power,Gallade,Clear Amulet,Sharpness,Fairy,Wide Guard,Sacred Sword,Trick Room,Psycho Cut,Kingambit,Assault Vest,Defiant,Fairy,Iron Head,Tera Blast,Kowtow Cleave,Sucker Punch
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Aqua Jet,U-turn,Close Combat,Surging Strikes,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Calm Mind,Dragon Pulse,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Protect,Sucker Punch,Sacred Sword,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,Fake Out,U-turn,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Protect,Substitute
Milotic,Zoom Lens,Competitive,Dragon,Coil,Muddy Water,Blizzard,Hypnosis,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Incineroar,Sitrus Berry,Intimidate,Grass,Knock Off,Flare Blitz,Parting Shot,Fake Out,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Power Gem,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,U-turn,Grassy Glide,Fake Out,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Taunt,Protect,Sludge Bomb
Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Fairy,Surging Strikes,Close Combat,Aqua Jet,Tera Blast,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Knock Off,Flare Blitz,Parting Shot,Flutter Mane,Booster Energy,Protosynthesis,Grass,Protect,Shadow Ball,Moonblast,Calm Mind,Farigiraf,Throat Spray,Armor Tail,Fairy,Protect,Hyper Voice,Psychic,Trick Room,Tornadus,Rocky Helmet,Prankster,Steel,Taunt,Rain Dance,Tailwind,Bleakwind Storm
Ogerpon,Covert Cloak,Defiant,Grass,Follow Me,Spiky Shield,Ivy Cudgel,Superpower,Dondozo,Leftovers,Oblivious,Fairy,Protect,Yawn,Heavy Slam,Wave Crash,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Protect,Sucker Punch,Ice Spinner,Sacred Sword,Dragonite,Assault Vest,Inner Focus,Normal,Aqua Jet,Aerial Ace,Stomping Tantrum,Extreme Speed,Gouging Fire,Clear Amulet,Protosynthesis,Fairy,Burning Bulwark,Howl,Breaking Swipe,Heat Crash,Ting-Lu,Rocky Helmet,Vessel of Ruin,Poison,Protect,Taunt,Sand Tomb,Ruination
Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Helping Hand,Hyper Voice,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Spiky Shield,Follow Me,Horn Leech,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Thunderbolt,Protect,Urshifu,Focus Sash,Unseen Fist,Poison,Wicked Blow,Sucker Punch,Close Combat,Poison Jab,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Moonblast,Torkoal,Charcoal,Drought,Fire,Eruption,Heat Wave,Earth Power,Helping Hand
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Blood Moon,Hyper Voice,Earth Power,Iron Hands,Assault Vest,Quark Drive,Grass,Fake Out,Heavy Slam,Close Combat,Wild Charge,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Helping Hand,Psychic,Dazzling Gleam,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Follow Me,Wood Hammer,Ivy Cudgel,Tornadus,Rocky Helmet,Prankster,Ghost,Protect,Tailwind,Taunt,Bleakwind Storm,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Sucker Punch,Wicked Blow,Close Combat
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Spiky Shield,Wood Hammer,Follow Me,Articuno,Choice Specs,Snow Cloak,Ice,Ice Beam,Blizzard,Freeze-Dry,Sheer Cold,Ninetales-Alola,Light Clay,Snow Warning,Fire,Aurora Veil,Blizzard,Helping Hand,Moonblast,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Dragon Pulse,Snarl,Electroweb,Arcanine-Hisui,Choice Band,Intimidate,Ghost,Flare Blitz,Extreme Speed,Head Smash,Rock Slide,Landorus,Covert Cloak,Sheer Force,Steel,Earth Power,Sludge Bomb,Taunt,Protect
Tornadus,Rocky Helmet,Prankster,Steel,Protect,Bleakwind Storm,Sunny Day,Tailwind,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Overheat,Snarl,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Sludge Bomb,Earth Power,Meteor Beam,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Protect,Icy Wind,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Protect,Close Combat
Whimsicott,Covert Cloak,Prankster,Dark,Sunny Day,Tailwind,Encore,Moonblast,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield,Volcarona,Rocky Helmet,Flame Body,Water,Struggle Bug,Flamethrower,Quiver Dance,Protect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Poison,Blood Moon,Earth Power,Protect,Hyper Voice,Zapdos-Galar,Choice Scarf,Defiant,Steel,Tailwind,Close Combat,Brave Bird,U-turn,Entei,Assault Vest,Inner Focus,Fairy,Tera Blast,Sacred Fire,Extreme Speed,Iron Head
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Ice Spinner,Sacred Sword,Sucker Punch,Flutter Mane,Booster Energy,Protosynthesis,Grass,Protect,Moonblast,Shadow Ball,Calm Mind,Whimsicott,Covert Cloak,Prankster,Rock,Tailwind,Dazzling Gleam,Encore,Light Screen,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Tera Blast,Flare Blitz,Rock Slide,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Ghost,Protect,Hyper Voice,Blood Moon,Earth Power,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Protect,Psychic,Dazzling Gleam,Trick Room,Gholdengo,Metal Coat,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Landorus-Therian,Choice Scarf,Intimidate,Flying,Stomping Tantrum,Rock Slide,U-turn,Tera Blast,Iron Hands,Assault Vest,Quark Drive,Grass,Fake Out,Close Combat,Wild Charge,Heavy Slam,Heatran,Shuca Berry,Flash Fire,Grass,Heat Wave,Earth Power,Flash Cannon,Protect
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,Close Combat,Surging Strikes,Ice Spinner,U-turn,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Will-O-Wisp,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect,Landorus,Life Orb,Sheer Force,Ghost,Earth Power,Sludge Bomb,Taunt,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Wood Hammer,Grassy Glide,U-turn
Ting-Lu,Assault Vest,Vessel of Ruin,Fairy,Throat Chop,Stomping Tantrum,Heavy Slam,Tera Blast,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Zapdos-Galar,Choice Scarf,Defiant,Flying,Brave Bird,Close Combat,Thunderous Kick,U-turn,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Nasty Plot,Trick Room,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Sunny Day
Shiftry,Focus Sash,Wind Rider,Stellar,Fake Out,Leaf Blade,Sucker Punch,Knock Off,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Psyshock,Zapdos-Galar,Life Orb,Defiant,Steel,Brave Bird,Close Combat,Tailwind,Detect,Smeargle,Eject Pack,Moody,Ghost,Spore,Fake Out,Wide Guard,Follow Me,Arcanine-Hisui,Assault Vest,Intimidate,Grass,Rock Slide,Flare Blitz,Extreme Speed,Head Smash,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Protect,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Protect,Taunt,Tailwind,Chi-Yu,Choice Scarf,Beads of Ruin,Fairy,Heat Wave,Dark Pulse,Snarl,Tera Blast,Rillaboom,Assault Vest,Grassy Surge,Grass,Grassy Glide,Fake Out,High Horsepower,Wood Hammer,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Dazzling Gleam,Psyshock,Helping Hand,Trick Room
Tornadus,Rocky Helmet,Prankster,Steel,Rain Dance,Tailwind,Bleakwind Storm,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Landorus,Life Orb,Sheer Force,Poison,Sandsear Storm,Earth Power,Sludge Bomb,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Rage Powder,Spore,Pollen Puff,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Flare Blitz,Parting Shot,Fake Out
Gholdengo,Iron Plate,Good as Gold,Dragon,Make It Rain,Shadow Ball,Nasty Plot,Protect,Incineroar,Safety Goggles,Intimidate,Ghost,Parting Shot,Flare Blitz,Knock Off,Fake Out,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Draco Meteor,Electroweb,Snarl,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect
Amoonguss,Mental Herb,Regenerator,Water,Sludge Bomb,Rage Powder,Spore,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Steel,Surging Strikes,Close Combat,Aqua Jet,Detect,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Fake Out,Parting Shot,Will-O-Wisp
Porygon2,Eviolite,Download,Poison,Trick Room,Ice Beam,Tera Blast,Recover,Gholdengo,Metal Coat,Good as Gold,Dragon,Make It Rain,Nasty Plot,Shadow Ball,Protect,Amoonguss,Rocky Helmet,Regenerator,Water,Protect,Pollen Puff,Spore,Rage Powder,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,Parting Shot,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Substitute,Sludge Bomb,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Aqua Jet
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Ice Spinner,U-turn,Close Combat,Incineroar,Safety Goggles,Intimidate,Water,Fake Out,Flare Blitz,Parting Shot,Knock Off,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Dazzling Gleam,Sunny Day,Psychic,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Draco Meteor,Thunderbolt,Snarl,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Protect,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Pollen Puff,Clear Smog,Rage Powder
